% Model,ghost_cell_flux.mph
% Version,COMSOL 5.3.1.275
% Date,"Nov 1 2019, 00:45"
% Table,parametric_sweep_final {tbl30} - Attenuation factor {gev22} (c_in/(c_gw*mat1.def.K_H))
% Switch 1 index,K_ads (m^3/kg),p_in (Pa),alpha (1),c_in (ug/m^3),j_ck (ug/(m^2*s)),m_ads (g),c_ads (mol/kg),c_ads_vol (ug/m^3),c_ads/c_gas (1),alpha_ck (1),n_ck (ug/s),c_gas (ug/m^3),c_liq (ug/m^3),u_ck (cm/h),Pe (1),Q_ck (L/h)
1,5.28,-15,2.274059318387544E-6,5.597621268287218,0.5836692179979275,35.331391839734295,0.002370532761545465,4.5473787732760954E8,7708.799999999997,0.023964734939011457,0.23323421951196693,58989.450670352,314872.6523636711,5.690834397963705,0.270660007028929,5.685143563565624
1,5.28,-14,2.179926866901503E-6,5.365913234897881,0.5595088041059805,34.697516559137824,0.0023280033835293428,4.465794922604037E8,7708.799999999997,0.023534787170387088,0.22357971812074515,57931.12965187883,309223.5686317161,5.311419653132636,0.2526147802095364,5.306108233479393
1,5.28,-13,2.0868911469375636E-6,5.1369048178483965,0.53562988174096,34.038287538032755,0.0022837729156502482,4.3809478814543766E8,7708.799999999997,0.02308764235292426,0.2140377007436832,56830.477914258714,303348.53287507215,4.932008592333876,0.23456972860526012,4.92707658374144
1,5.28,-12,1.9950869788026257E-6,4.91092787876225,0.5120670544255039,33.35472758934765,0.0022379099827607505,4.292969292470044E8,7708.799999999999,0.022623994244763954,0.20462199494842712,55689.20315055573,297256.6603819537,4.552601215459958,0.21652485221098886,4.548048614244403
1,5.28,-11,1.9046490104653767E-6,4.68831385505058,0.4888548814492284,32.64800627094565,0.0021904930554527656,4.2020096853167045E8,7708.799999999997,0.022144636138859797,0.19534641062710761,54509.25805983696,290958.3742284789,4.17319752240343,0.19848015102161215,4.16902432488094
1,5.28,-10,1.8157121828181703E-6,4.469394905159248,0.4660279972847162,31.919422117826006,0.002141609257940698,4.1082361898520964E8,7708.799999999997,0.021650448811355714,0.18622478771496873,53292.810681975076,284465.246932403,3.7937975130568287,0.180435625032019,3.7900037155436928
1,5.28,-9,1.7284087911875838E-6,4.254496675445744,0.4436203573829904,31.170419059404292,0.002091355469566316,4.011834649136247E8,7708.799999999997,0.021142411657172698,0.17727069481023924,52042.27180801488,277790.14676359174,3.414401187312718,0.16239127423709962,3.4109867861253345
1,5.28,-8,1.6428665449399067E-6,4.043933523877393,0.4216647401440471,30.402597366926972,0.0020398390593071606,3.9130110284345686E8,7708.799999999997,0.020621610115469823,0.1684972301615577,50760.31325802416,270947.33530715795,3.035008545063634,0.144347098631743,3.031973536518507
1,5.28,-7,1.559208097073779E-6,3.8380073621186126,0.400192626180211,29.617695052333705,0.0019871766377474263,3.811989021131062E8,7708.799999999997,0.020089223052781564,0.159916973421609,49449.83682455197,263952.30169049645,2.6556195862021394,0.12630309821083932,2.652963966615882
1,5.28,-6,1.477550790782666E-6,3.637007031691752,0.3792341332678337,28.817561578588528,0.001933492293192707,3.709006665077809E8,7708.799999999999,0.019546504931143068,0.1515419596538232,48113.930379278325,256821.52829028887,2.276234310620805,0.1082592729692792,2.273958076310137
1,5.28,-5,1.3980053937330922E-6,3.441205188389455,0.3588176914820575,28.00414416779282,0.0018789166730232775,3.6043145803605086E8,7708.799999999999,0.018994776521095758,0.1433835495162272,46755.845012978876,249572.36871067705,1.8968527182121862,0.09021562290195248,1.8949558654939347
1,5.28,-4,1.3206738392979055E-6,3.250852742296252,0.33896946345265266,27.17949242166692,0.0018235872937017782,3.4981765639843565E8,7708.799999999999,0.0184354280356881,0.13545219759567723,45379.00274990087,242223.0889609057,1.5174748088688625,0.07217214800375017,1.5159573340599624
1,5.28,-3,1.2456488288058128E-6,3.0661778787215455,0.31971324227577713,26.345748643896144,0.0017676478914584288,3.390868344297352E8,7708.799999999997,0.017869912566273242,0.12775741161339788,43986.980389909644,234792.78120826447,1.1381005824833987,0.054128848269562574,1.1369624819008917
1,5.28,-2,1.1730144446135726E-6,2.8873875672833544,0.3010706088675563,25.505077294623202,0.0017112436890940321,3.2826685013269454E8,7708.799999999997,0.0172996982325857,0.120307815303473,42583.39172539108,227300.7350779433,0.7587300389483779,0.036085723694280876,0.7579713089094138
1,5.28,-1,1.102842629236834E-6,2.7146588952513193,0.28306002828363486,24.659729725198737,0.0016545257393086534,3.1738667985613555E8,7708.799999999997,0.016726312091318193,0.11311078730213814,41171.995622682596,219767.01456782978,0.3793631781563835,0.01804277427279627,0.3789838149782192
1,5.28,0,1.0351855020021337E-6,2.548120154903636,0.26569487768014777,23.811886918857923,0.0015976403735073785,3.0647439426569605E8,7708.799999999997,0.01615123346956252,0.10617167312098486,39756.43346119967,212211.0565565817,0,0,0
1,5.28,1,9.713147492177154E-7,2.3909016156523895,0.24930155318364586,22.926425983373772,0.0015382310480509909,2.950779390089928E8,7708.799999999997,0.015550639054432155,0.09962090065218282,38278.06390216286,204319.84653618402,-0.3793594956281805,-0.018042599129216328,-0.37898013613254444
1,5.28,2,9.099915428686818E-7,2.2399538891250477,0.23356209220940657,22.04498131043875,0.0014790911906641029,2.837331756503802E8,7708.799999999997,0.014952768807878887,0.09333141204687694,36806.399913135705,196464.42936672087,-0.7587153088355633,-0.036085023119960986,-0.757956593526712
