% Model,ghost_cell_flux.mph
% Version,COMSOL 5.3.1.275
% Date,"Nov 1 2019, 00:45"
% Table,sand_time_to_equilibrium_final {tbl32} - Pressure {gev21} (sw1(t))
% Switch 1 index,Pressurization cycles index,K_ads (m^3/kg),t (h),p_in (Pa),alpha (1),c_in (ug/m^3),j_ck (ug/(m^2*s)),m_ads (g),c_ads (mol/kg),c_ads_vol (ug/m^3),c_ads/c_gas (1),alpha_ck (1),n_ck (ug/s),c_gas (ug/m^3),c_liq (ug/m^3),u_ck (cm/h),Pe (1),Q_ck (L/h)
2,2,0,0,-5,3.4995322683025397E-6,8.614136005914581,0.8982040379874414,0,0,0,0,0.007992038925784506,0.35892233357977416,19672.489062278135,105007.39944588253,31.769116518299153,1.5109610821257558,31.737347401780195
2,2,0,1,-5.5792,3.692317043913558E-6,9.088677787404867,0.9476400480143914,0,0,0,0,0.008007989046324979,0.3786769631865429,19711.75045411925,105216.96807966391,35.53709933714711,1.6901689425054551,35.501562237809225
2,2,0,2,-15,7.692649017999747E-6,18.935537610846886,1.9744285287932561,0,0,0,0,0.008748882530339418,0.7889816401057687,21535.467667703328,114951.56756612963,95.31183514576186,4.533096584170987,95.21652331061411
2,2,0,3,-15,7.840666840921794E-6,19.299885060790064,2.0124171110486864,0,0,0,0,0.008876279061227914,0.8041618775750384,21849.055587350515,116625.43058547362,95.31197628358328,4.533103296783069,95.2166643072977
2,2,0,4,-15,7.895836014356653E-6,19.435684569657653,2.026577053059118,0,0,0,0,0.008917765465704238,0.8098201904024068,21951.174814480495,117170.52045388817,95.31197628391773,4.533103296798975,95.21666430763183
2,2,0,5,-15,7.925088560034622E-6,19.50769002286397,2.034085129177555,0,0,0,0,0.008935316009091228,0.8128204176193341,21994.375664229072,117401.11704344966,95.31197628391777,4.533103296798978,95.21666430763187
2,2,0,6,-15,7.937618096652637E-6,19.538531610894537,2.0373010104787053,0,0,0,0,0.00893775707463273,0.8141054837872738,22000.384373096924,117433.19020359962,95.31197628391784,4.533103296798981,95.21666430763194
2,2,0,7,-15,7.945380682961568E-6,19.557639299892994,2.0392933871260226,0,0,0,0,0.008936058671167316,0.8149016374955416,21996.203734850893,117410.87488046715,95.31197628391777,4.533103296798978,95.21666430763186
2,2,0,8,-15,7.94909585183252E-6,19.5667842276964,2.0402469373224057,0,0,0,0,0.008930898607032603,0.8152826761540164,21983.50218194388,117343.07679780146,95.31197628391777,4.533103296798978,95.21666430763187
2,2,0,9,-15,7.946609023414336E-6,19.560662873019478,2.039608657930838,0,0,0,0,0.00892088893367631,0.8150276197091461,21958.863264209995,117211.55969957309,95.31197628391779,4.533103296798979,95.2166643076319
2,2,0,10,-15,7.944122194996154E-6,19.554541518342564,2.0389703785392626,0,0,0,0,0.00891087926032002,0.8147725632642724,21934.224346476076,117080.04260134479,95.31197628391759,4.533103296798969,95.2166643076317
2,2,0,11,-15,7.94132058243237E-6,19.547645319133625,2.038251305381842,0,0,0,0,0.008900677097901693,0.814485221630567,21909.111614862795,116945.99638933048,95.31197628391763,4.533103296798971,95.21666430763173
2,2,0,12,-15,7.935902781542581E-6,19.534309344454858,2.0368607507982204,0,0,0,0,0.008888875148314898,0.8139295560189519,21880.06099007032,116790.93057370966,95.31197628391762,4.53310329679897,95.21666430763172
2,2,0,13,-15,7.930484980652792E-6,19.520973369776094,2.0354701962146,0,0,0,0,0.00887707319872812,0.8133738904073373,21851.010365277878,116635.8647580887,95.31197628391753,4.533103296798966,95.21666430763163
2,2,0,14,-15,7.924914056924879E-6,19.507260481598014,2.034040340507011,0,0,0,0,0.008865313712270135,0.8128025200665847,21822.064263929933,116481.35686551742,95.31197628391756,4.533103296798967,95.21666430763166
2,2,0,15,-15,7.918269646671891E-6,19.4909051948882,2.0323349594269873,0,0,0,0,0.008853851918809209,0.8121210497870074,21793.850937069517,116330.76036123416,95.31197628391756,4.533103296798967,95.21666430763166
2,2,0,16,-15,7.911625236418904E-6,19.47454990817839,2.0306295783469697,0,0,0,0,0.008842390125348286,0.8114395795074322,21765.63761020912,116180.16385695101,95.31197628391753,4.533103296798966,95.21666430763163
2,2,0,17,-15,7.90498082616592E-6,19.458194621468586,2.0289241972669494,0,0,0,0,0.008830928331887358,0.810758109227856,21737.42428334872,116029.56735266795,95.31197628391762,4.53310329679897,95.21666430763172
2,2,0,18,-15,7.898336415912932E-6,19.44183933475877,2.027218816186934,0,0,0,0,0.00881946653842643,0.810076638948282,21709.210956488303,115878.9708483847,95.31197628391762,4.53310329679897,95.21666430763172
2,2,0,19,-15,7.891692005659944E-6,19.425484048048965,2.0255134351069155,0,0,0,0,0.008808004744965485,0.8093951686687066,21680.997629627887,115728.37434410152,95.31197628391762,4.53310329679897,95.21666430763172
2,2,0,20,-15,7.885083188880304E-6,19.409216375053447,2.0238171895910324,0,0,0,0,0.008796756833584076,0.8087173489605597,21653.31077578759,115580.58803646118,95.31197628391762,4.53310329679897,95.21666430763172
2,2,0,21,-15,7.878661649778618E-6,19.393409688059798,2.022169011517788,0,0,0,0,0.008786634278495355,0.8080587370024913,21628.393998465213,115447.58778515026,95.31197628391762,4.53310329679897,95.21666430763172
2,2,0,22,-15,7.872240110676928E-6,19.377603001066145,2.020520833444541,0,0,0,0,0.008776511723406617,0.8074001250444219,21603.477221142857,115314.58753383938,95.31197628391762,4.53310329679897,95.21666430763172
2,2,0,23,-15,7.86581857157524E-6,19.361796314072496,2.018872655371296,0,0,0,0,0.008766389168317876,0.806741513086353,21578.560443820512,115181.58728252836,95.31197628391757,4.533103296798968,95.21666430763167
2,2,0,24,-15,7.859397032473552E-6,19.345989627078843,2.01722447729805,0,0,0,0,0.008756266613229128,0.8060829011282841,21553.643666498127,115048.58703121763,95.31197628391757,4.533103296798968,95.21666430763167
2,2,0,25,-15,7.852975493371864E-6,19.33018294008519,2.015576299224807,0,0,0,0,0.008746144058140401,0.805424289170216,21528.726889175745,114915.58677990656,95.31197628391759,4.533103296798969,95.2166643076317
2,2,0,26,-15,7.846802831978688E-6,19.31498886822568,2.013991999105989,0,0,0,0,0.008736521023058694,0.8047912028427365,21505.03968567879,114789.14972196813,95.31197628391759,4.533103296798969,95.2166643076317
2,2,0,27,-15,7.84166038118459E-6,19.302330670744457,2.0126721169862423,0,0,0,0,0.00872896571356309,0.8042637779476856,21486.442210767214,114689.88051050539,95.31197628391759,4.533103296798969,95.2166643076317
2,2,0,28,-15,7.836517930390493E-6,19.289672473263238,2.0113522348664934,0,0,0,0,0.008721410404067483,0.803736353052634,21467.84473585569,114590.61129904266,95.31197628391759,4.533103296798969,95.2166643076317
2,2,0,29,-15,7.831375479596395E-6,19.27701427578201,2.010032352746745,0,0,0,0,0.008713855094571867,0.8032089281575825,21449.247260944107,114491.34208757977,95.31197628391757,4.533103296798968,95.21666430763167
2,2,0,30,-15,7.826233028802297E-6,19.264356078300793,2.008712470626999,0,0,0,0,0.008706299785076274,0.8026815032625322,21430.64978603254,114392.07287611709,95.31197628391757,4.533103296798968,95.21666430763167
2,2,0,31,-15,7.821090578008198E-6,19.25169788081957,2.0073925885072526,0,0,0,0,0.008698744475580666,0.8021540783674814,21412.052311120988,114292.80366465429,95.31197628391757,4.533103296798968,95.21666430763167
2,2,0,32,-15,7.8159481272141E-6,19.239039683338348,2.0060727063875063,0,0,0,0,0.008691189166085054,0.8016266534724308,21393.454836209457,114193.53445319166,95.31197628391759,4.533103296798969,95.21666430763169
2,2,0,33,-15,7.810805676420003E-6,19.226381485857125,2.0047528242677592,0,0,0,0,0.00868363385658945,0.80109922857738,21374.85736129787,114094.26524172863,95.31197628391759,4.533103296798969,95.21666430763169
2,2,0,34,-15,7.805663225625905E-6,19.213723288375903,2.0034329421480126,0,0,0,0,0.008676078547093832,0.8005718036823293,21356.25988638636,113994.99603026589,95.31197628391759,4.533103296798969,95.21666430763169
2,2,0,35,-15,7.800520774831807E-6,19.20106509089468,2.002113060028265,0,0,0,0,0.008668523237598228,0.8000443787872781,21337.662411474783,113895.72681880314,95.31197628391759,4.533103296798969,95.21666430763169
2,2,0,36,-15,7.795378324037707E-6,19.188406893413454,2.000793177908517,0,0,0,0,0.008660967928102618,0.7995169538922268,21319.064936563253,113796.45760734049,95.31197628391759,4.533103296798969,95.21666430763169
2,2,0,37,-15,7.79023587324361E-6,19.17574869593223,1.999473295788772,0,0,0,0,0.008653412618607022,0.7989895289971767,21300.46746165166,113697.18839587756,95.31197628391759,4.533103296798969,95.21666430763169
2,2,0,38,-15,7.785390402066604E-6,19.16382151694619,1.9982296376529243,0,0,0,0,0.008646357343327834,0.798492563206092,21283.100826297425,113604.48913398436,95.31197628391759,4.533103296798969,95.21666430763169
2,2,0,39,-15,7.781371536138127E-6,19.153929035596327,1.9971981393473435,0,0,0,0,0.008640693850123784,0.7980803764831818,21269.160077366436,113530.07649677638,95.31197628391759,4.533103296798969,95.21666430763169
2,2,0,40,-15,7.777352670209654E-6,19.144036554246473,1.9961666410417582,0,0,0,0,0.008635030356919739,0.7976681897602701,21255.21932843543,113455.66385956823,95.31197628391759,4.533103296798969,95.21666430763169
2,2,0,41,-15,7.77333380428118E-6,19.13414407289661,1.9951351427361743,0,0,0,0,0.008629366863715675,0.7972560030373587,21241.278579504462,113381.25122236014,95.31197628391759,4.533103296798969,95.21666430763169
2,2,0,42,-15,7.769314938352705E-6,19.12425159154675,1.9941036444305904,0,0,0,0,0.008623703370511614,0.7968438163144473,21227.337830573484,113306.83858515215,95.31197628391759,4.533103296798969,95.21666430763169
2,2,0,43,-15,7.765296072424232E-6,19.11435911019689,1.9930721461250078,0,0,0,0,0.008618039877307564,0.7964316295915366,21213.397081642484,113232.42594794401,95.31197628391759,4.533103296798969,95.21666430763169
2,2,0,44,-15,7.761277206495755E-6,19.104466628847028,1.9920406478194248,0,0,0,0,0.00861237638410351,0.7960194428686256,21199.456332711496,113158.01331073586,95.31197628391767,4.5331032967989735,95.21666430763176
2,2,0,45,-15,7.75725834056728E-6,19.09457414749717,1.9910091495138422,0,0,0,0,0.008606712890899454,0.7956072561457149,21185.515583780496,113083.600673528,95.31197628391767,4.5331032967989735,95.21666430763176
2,2,0,46,-15,7.753239474638806E-6,19.084681666147308,1.9899776512082588,0,0,0,0,0.0086010493976954,0.7951950694228037,21171.574834849518,113009.1880363199,95.31197628391767,4.5331032967989735,95.21666430763176
