% Model,cpm.mph
% Version,COMSOL 5.3.1.275
% Date,"Jul 24 2019, 14:33"
% Table,Table 9 {tbl9} - Surface Average 1 {av1} (p)
% Time,Pressure (Pa)
0,-4.999999999999991
356.5337001375516,-4.9993000566287344
713.0674002751032,-4.9975404693722245
1069.601100412655,-4.995231602516227
1426.1348005502064,-4.992883820346634
1782.6685006877578,-4.991007487149228
2139.20220082531,-4.990112967209855
2495.7359009628613,-4.990710624814346
2852.2696011004127,-4.993310824248502
3208.803301237964,-4.998423929798187
3565.3370013755157,-5.006560305749213
3921.8707015130676,-5.021470093493873
4278.40440165062,-5.048903676414638
4634.938101788171,-5.090347264133176
4991.4718019257225,-5.147250972972697
5348.0055020632735,-5.221064919256369
5704.5392022008255,-5.31323921930739
6061.072902338377,-5.425223989448935
6417.606602475928,-5.558469346004207
6774.14030261348,-5.714425405296437
7130.674002751031,-5.89454228364876
7487.207702888583,-6.099409456156249
7843.741403026135,-6.327096234450336
8200.275103163687,-6.576004962290385
8556.80880330124,-6.844569118651625
8913.34250343879,-7.131222182509249
9269.876203576341,-7.434397632838422
9626.409903713893,-7.752528948614342
9982.943603851445,-8.084049608812155
10339.477303988997,-8.427393092407067
10696.011004126547,-8.780992878374288
11052.544704264099,-9.142900174930402
11409.078404401651,-9.510137607646362
11765.612104539203,-9.88039660411218
12122.145804676755,-10.25142366585957
12478.679504814305,-10.620965294420214
12835.213204951857,-10.9867679913258
13191.746905089409,-11.346578258108096
13548.28060522696,-11.698142596298732
13904.814305364513,-12.039207507429406
14261.348005502063,-12.367519493031816
14617.881705639615,-12.68064359202323
14974.415405777167,-12.976292680547525
15330.949105914719,-13.253679269950439
15687.48280605227,-13.512129163952151
16044.016506189822,-13.750968166272822
16400.550206327374,-13.969522080632663
16757.083906464926,-14.167116710751793
17113.61760660248,-14.343077860350482
17470.151306740026,-14.496731333148793
17826.68500687758,-14.62740293286699
18183.21870701513,-14.734504311037936
18539.752407152682,-14.819111668538214
18896.286107290234,-14.883803643071344
19252.819807427786,-14.931212267057049
19609.353507565338,-14.963969572915044
19965.88720770289,-14.984707593065096
20322.420907840442,-14.996058359926904
20678.954607977994,-15.00065390592016
21035.488308115542,-15.001126263464567
21392.022008253094,-15.000107464979905
21748.555708390646,-14.999958517470034
22105.089408528198,-15.000115037645187
22461.62310866575,-15.000206231871315
22818.156808803302,-15.000243916089406
23174.690508940854,-15.000239906240253
23531.224209078406,-15.000206018264697
23887.757909215958,-15.000154068103592
24244.29160935351,-15.000095871697813
24600.82530949106,-15.000043244988124
24957.35900962861,-15.000008003915486
25313.89270976616,-15.000000000000002
25670.426409903714,-15.000000000000007
26026.960110041266,-15.000000000000009
26383.493810178818,-15.000000000000007
26740.02751031637,-15.000000000000002
27096.56121045392,-15.000000000000002
27453.094910591473,-15.000000000000002
27809.628610729025,-15.000000000000002
28166.162310866577,-15.000000000000002
28522.696011004125,-15.000000000000002
28879.229711141677,-15.000000000000007
29235.76341127923,-15.000000000000002
29592.29711141678,-15.000000000000007
29948.830811554333,-15.000000000000009
30305.364511691885,-15.000000000000002
30661.898211829437,-15.000000000000002
31018.43191196699,-15.000000000000002
31374.96561210454,-15.000000000000002
31731.499312242093,-15.000000000000002
32088.033012379645,-15.000000000000002
32444.566712517193,-15.000000000000002
32801.10041265475,-15.000000000000002
33157.6341127923,-15.000000000000009
33514.16781292985,-15.000000000000007
33870.701513067404,-15.000000000000002
34227.23521320496,-15.000000000000002
34583.7689133425,-15.000000000000002
34940.30261348005,-15.000000000000002
35296.836313617605,-15.000000000000002
35653.37001375516,-15.000000000000007
36009.90371389271,-15.000000000000002
36366.43741403026,-15.000000000000002
36722.97111416781,-15.000000000000009
37079.504814305365,-15.000000000000007
37436.03851444292,-15.000000000000007
37792.57221458047,-15.000000000000002
38149.10591471802,-15.000000000000002
38505.63961485557,-15.000000000000002
38862.173314993124,-15.000000000000002
39218.707015130676,-15.000000000000007
39575.24071526823,-15.000000000000002
39931.77441540578,-15.000000000000007
40288.30811554333,-15.000000000000007
40644.841815680884,-15.000000000000002
41001.375515818436,-15.000000000000009
41357.90921595599,-15.000000000000002
41714.44291609354,-15.000000000000002
42070.976616231084,-15.000000000000002
42427.510316368636,-15.000000000000002
42784.04401650619,-15.000000000000002
43140.57771664374,-15.000000000000002
43497.11141678129,-15.000000000000002
43853.645116918844,-15.000000000000007
44210.178817056396,-15.000000000000007
44566.71251719395,-15.000000000000009
44923.2462173315,-15.000000000000002
45279.77991746905,-15.000000000000002
45636.313617606604,-15.000000000000002
45992.847317744156,-15.000000000000002
46349.38101788171,-15.000000000000002
46705.91471801926,-15.000000000000002
47062.44841815681,-15.000000000000002
47418.98211829436,-15.000000000000002
47775.515818431915,-15.000000000000002
48132.04951856947,-15.000000000000002
48488.58321870702,-15.000000000000007
48845.11691884457,-15.000000000000002
49201.65061898212,-15.000000000000002
49558.18431911967,-15.000000000000002
49914.71801925722,-15.000000000000002
50271.25171939477,-15.000000000000002
50627.78541953232,-15.000000000000002
50984.319119669875,-15.000000000000002
51340.85281980743,-15.000000000000002
51697.38651994498,-15.000000000000007
52053.92022008253,-15.000000000000002
52410.45392022008,-15.000000000000002
52766.987620357635,-15.000000000000002
53123.52132049519,-15.000000000000002
53480.05502063274,-15.000000000000002
53836.58872077029,-15.000000000000002
54193.12242090784,-15.000000000000002
54549.656121045395,-15.000000000000002
54906.18982118295,-15.000000000000002
55262.7235213205,-15.000000000000009
55619.25722145805,-15.000000000000002
55975.7909215956,-15.000000000000002
56332.324621733154,-15.000000000000002
56688.858321870706,-15.000000000000002
57045.39202200825,-15.000000000000002
57401.9257221458,-15.000000000000007
57758.459422283355,-15.000000000000002
58114.99312242091,-15.000000000000007
58471.52682255846,-15.000000000000007
58828.06052269601,-15.000000000000007
59184.59422283356,-15.000000000000007
59541.127922971114,-15.000000000000002
59897.66162310867,-15.000000000000002
60254.19532324622,-15.000000000000002
60610.72902338377,-15.000000000000002
60967.26272352132,-15.000000000000002
61323.796423658874,-15.000000000000002
61680.330123796426,-15.000000000000002
62036.86382393398,-15.000000000000007
62393.39752407153,-15.000000000000007
62749.93122420908,-15.000000000000007
63106.464924346634,-15.000000000000002
63462.998624484186,-15.000000000000002
63819.53232462174,-15.000000000000002
64176.06602475929,-15.000000000000002
64532.59972489684,-15.000000000000002
64889.133425034386,-15.000000000000002
65245.66712517194,-15.000000000000009
65602.2008253095,-15.000000000000009
65958.73452544704,-15.000000000000002
66315.2682255846,-15.000000000000009
66671.80192572215,-15.000000000000002
67028.3356258597,-15.000000000000002
67384.86932599725,-15.000000000000002
67741.40302613481,-15.000000000000002
68097.93672627235,-15.000000000000002
68454.47042640991,-15.000000000000002
68811.00412654746,-15.000000000000002
69167.537826685,-15.000000000000007
69524.07152682256,-15.000000000000007
69880.6052269601,-15.000000000000002
70237.13892709767,-15.000000000000002
70593.67262723521,-15.000000000000002
70950.20632737277,-15.000000000000002
71306.74002751031,-15.000000000000002
71663.27372764787,-15.000000000000002
72019.80742778542,-15.000000781112766
72376.34112792298,-15.000085204873331
72732.87482806052,-14.999576891927445
73089.40852819808,-14.997416190847458
73445.94222833563,-14.992543450205465
73802.47592847318,-14.983899018573968
74159.00962861073,-14.970423244525113
74515.54332874829,-14.951056476631301
74872.07702888583,-14.924739063464779
75228.61072902339,-14.890411353597875
75585.14442916094,-14.847013695602806
75941.6781292985,-14.790563049777885
76298.21182943604,-14.717405704196906
76654.74552957359,-14.627795401827564
77011.27922971114,-14.521991793633667
77367.81292984869,-14.400254530579195
77724.34662998625,-14.262843263628
78080.8803301238,-14.11001764374411
78437.41403026135,-13.942037321891291
78793.9477303989,-13.759161949033631
79150.48143053646,-13.561651176134925
79507.015130674,-13.34693217673386
79863.54883081156,-13.1107643301764
80220.0825309491,-12.853736426304431
80576.61623108666,-12.576512239903181
80933.14993122421,-12.279755545757922
81289.68363136177,-11.96413011865394
81646.21733149931,-11.63029973337646
82002.75103163687,-11.278928164710793
82359.28473177442,-10.910679187442167
82715.81843191198,-10.526216576355855
83072.35213204952,-10.125765701782123
83428.88583218708,-9.708983910859013
83785.41953232462,-9.276523449125785
84141.95323246217,-8.829078730733862
84498.48693259973,-8.367344169835045
84855.02063273727,-7.892014180580924
85211.55433287483,-7.403783177123147
85568.08803301238,-6.9033455736134295
85924.62173314994,-6.391395784203364
86281.15543328748,-5.86862822304466
86637.68913342504,-5.33583385323862
86994.22283356258,-4.794123132975857
87350.75653370014,-4.244431404744715
87707.29023383769,-3.6876739641942975
88063.82393397525,-3.1247661069736345
88420.35763411279,-2.556623128731801
88776.89133425035,-1.9841603251178141
89133.4250343879,-1.4082929917807923
89489.95873452545,-0.82993642436973
89846.492434663,-0.25000591853374027
90203.02613480056,0.33035636208281466
90559.5598349381,0.9093004460694453
90916.09353507566,1.4860363521381117
91272.62723521321,2.059911925795877
91629.16093535075,2.630275012549904
91985.69463548831,3.1964734579073424
92342.22833562586,3.7578551073752453
92698.76203576342,4.31376780646081
93055.29573590096,4.863559400671105
93411.82943603852,5.406577735513269
93768.36313617606,5.941758669092587
94124.89683631362,6.465754885873997
94481.43053645117,6.977593043544915
94837.96423658873,7.476823845302043
95194.49793672627,7.962997994341986
95551.03163686383,8.435666193861454
95907.56533700138,8.894379147057002
96264.09903713893,9.338687557125365
96620.63273727648,9.768142127263172
96977.16643741404,10.182293560667018
97333.70013755158,10.580623098844725
97690.23383768914,10.96204333528546
98046.76753782669,11.326171272617684
98403.30123796425,11.672834916127007
98759.83493810179,12.001862271099194
99116.36863823934,12.313081342819881
99472.9023383769,12.60632013657476
99829.43603851444,12.881406657649597
100185.969738652,13.138168911330014
100542.50343878954,13.376434902901636
100899.0371389271,13.596031144075182
101255.57083906465,13.796961417632549
101612.1045392022,13.979724443178506
101968.63823933975,14.144893857753525
102325.17193947731,14.293043298398224
102681.70563961485,14.424746402153167
103038.23933975241,14.540576806058965
103394.77303988996,14.64110814715607
103751.30674002752,14.726914062485204
104107.84044016506,14.798568189086847
104464.37414030262,14.856656190787065
104820.90784044017,14.902424591829831
105177.44154057773,14.937439540110157
105533.97524071527,14.963113316973976
105890.50894085283,14.980858203767276
106247.04264099037,14.992086481835974
106603.57634112792,14.99821043252595
106960.11004126548,15.00064233718324
107316.64374140302,15.000794477153715
107673.17744154058,15.000079133783391
108029.71114167813,14.999901524654884
108386.24484181569,15.000229570086546
108742.77854195323,15.00042598511351
109099.31224209079,15.000513614705744
109455.84594222833,15.000515303833192
109812.3796423659,15.000453897465786
110168.91334250344,15.000352240573575
110525.447042641,15.000233178126468
110881.98074277854,15.00011955509442
111238.5144429161,15.0000342164473
111595.04814305365,15.000000007155247
111951.5818431912,15.000000000000002
112308.11554332875,15.000000000000007
112664.64924346631,15.000000000000009
113021.18294360385,15.000000000000002
113377.71664374141,15.000000000000002
113734.25034387896,15.000000000000002
114090.7840440165,15.000000000000002
114447.31774415406,15.000000000000002
114803.8514442916,15.000000000000002
115160.38514442916,15.000000000000002
115516.91884456671,15.000000000000007
115873.45254470427,15.000000000000002
116229.98624484181,15.000000000000002
116586.51994497937,15.000000000000002
116943.05364511692,15.000000000000002
117299.58734525448,15.000000000000002
117656.12104539202,15.000000000000002
118012.65474552958,15.000000000000002
118369.18844566713,15.000000000000002
118725.72214580468,15.000000000000002
119082.25584594223,15.000000000000002
119438.78954607979,15.000000000000007
119795.32324621733,15.000000000000007
120151.85694635489,15.000000000000002
120508.39064649244,15.000000000000002
120864.92434663,15.000000000000002
121221.45804676754,15.000000000000002
121577.9917469051,15.000000000000002
121934.52544704264,15.000000000000002
122291.05914718019,15.000000000000002
122647.59284731775,15.000000000000002
123004.1265474553,15.000000000000009
123360.66024759285,15.00000000000001
123717.1939477304,15.000000000000007
124073.72764786796,15.000000000000002
124430.2613480055,15.000000000000002
124786.79504814306,15.000000000000002
125143.3287482806,15.000000000000002
125499.86244841816,15.000000000000002
125856.39614855571,15.000000000000002
126212.92984869327,15.000000000000002
126569.46354883081,15.000000000000007
126925.99724896837,15.000000000000009
127282.53094910592,15.000000000000002
127639.06464924348,15.000000000000002
127995.59834938102,15.000000000000002
128352.13204951858,15.000000000000002
128708.66574965612,15.000000000000002
129065.19944979368,15.000000000000002
129421.73314993123,15.000000000000002
129778.26685006877,15.000000000000002
130134.80055020633,15.000000000000007
130491.33425034388,15.000000000000009
130847.86795048144,15.000000000000002
131204.401650619,15.000000000000002
131560.93535075654,15.000000000000002
