% Model,cpm.mph
% Version,COMSOL 5.3.1.275
% Date,"Jul 26 2019, 14:26"
% Table,Steady-state material sweep {tbl7} - 
% matsw.comp1.sw1,dp_bldg (Pa),c_in (mol/m^3),c_ads (mol/kg),m_ads (g),"alpha (1), Attenuation from source {avh1}",j_sides (mol/(m^2*s)),j_bottom (mol/(m^2*s)),j_ck (mol/(m^2*s)),j_d_sides (mol/(m^2*s)),j_d_bottom (mol/(m^2*s)),j_d_ck (mol/(m^2*s)),j_c_sides (mol/(m^2*s)),j_c_bottom (mol/(m^2*s)),j_c_ck (mol/(m^2*s))
3,-13,2.335216973021892E-6,3.083829891445554E-7,1.7382411164848572,5.706099965007216E-6,-1.9614736525644317E-10,-3.072956452943457E-11,1.3227459194318569E-8,-5.4601722248807866E-11,-6.579418875476165E-12,1.2899253258607616E-8,-1.4154564300763538E-10,-2.4150145653958392E-11,3.282059357109583E-10
3,-12,2.1773256181988387E-6,3.033017906611376E-7,1.7096002755960718,5.32029262263214E-6,-1.80137414740968E-10,-2.8839056101481673E-11,1.2309054628469974E-8,-5.261594349606847E-11,-6.822385892202555E-12,1.202658119819164E-8,-1.2752147124489925E-10,-2.201667020927913E-11,2.824734302783589E-10
3,-11,2.01717427092916E-6,2.9791873027294356E-7,1.6792579505371055,4.928962991335035E-6,-1.63745259092417E-10,-2.6957965839624932E-11,1.138127312086438E-8,-5.01467747961918E-11,-7.063489652057222E-12,1.114138639561215E-8,-1.1359848429622547E-10,-1.989447618756769E-11,2.3988672525222053E-10
3,-10,1.8560817879836392E-6,2.9234586918525907E-7,1.6478457889715692,4.535333696105638E-6,-1.471181630152917E-10,-2.5094282300453335E-11,1.0446495413955613E-8,-4.718952730897011E-11,-7.296734827235192E-12,1.024583377495739E-8,-9.992863570632184E-11,-1.77975474732181E-11,2.0066163899823943E-10
3,-9,1.694352748697873E-6,2.8625842456106157E-7,1.6135331098920347,4.140148976197163E-6,-1.3035980731673242E-10,-2.3250934225499762E-11,9.51635734958665E-9,-4.3838615225484914E-11,-7.534783158551707E-12,9.351499085687364E-9,-8.652119209124741E-11,-1.5716151066948027E-11,1.6485826389927912E-10
3,-8,1.5338058909911457E-6,2.7977971024035284E-7,1.5770149879117838,3.7478529156058824E-6,-1.1375069725948478E-10,-2.1438892276097982E-11,8.597279798248487E-9,-4.019711928691608E-11,-7.770681316234767E-12,8.464625323355964E-9,-7.35535779725688E-11,-1.3668210959863225E-11,1.326544748925214E-10
3,-7,1.3759488573838767E-6,2.7288629748395933E-7,1.5381593638733009,3.3621294370817606E-6,-9.748203869157745E-11,-1.9667456438467262E-11,7.69705029974997E-9,-3.632413477140971E-11,-8.00316245233631E-12,7.592924348098062E-9,-6.115790392016763E-11,-1.166429398613093E-11,1.0412595165191677E-10
3,-6,1.2223745160229972E-6,2.655577106727063E-7,1.4968508242668013,2.986870712094279E-6,-8.179621896994919E-11,-1.794645671298818E-11,6.824967943968276E-9,-3.2328013783730414E-11,-8.229920496053859E-12,6.745679238975175E-9,-4.946820518621832E-11,-9.716536216934339E-12,7.928870499309589E-11
3,-5,1.0747291017134921E-6,2.5778214765398326E-7,1.4530228447130134,2.6260993134799794E-6,-6.690727769771157E-11,-1.6286202246229584E-11,5.989714714035438E-9,-2.8294617691998746E-11,-8.44772490428427E-12,5.931621964013308E-9,-3.8612660005712885E-11,-7.838477341945273E-12,5.8092750022119806E-11
3,-4,9.346292621096813E-7,2.495671917672288E-7,1.406718169698101,2.283765517907092E-6,-5.3010106217196745E-11,-1.4697270633520893E-11,5.199519080237309E-9,-2.430330063109349E-11,-8.652443176494762E-12,5.159103443678969E-9,-2.8706805586103086E-11,-6.044827457026123E-12,4.04156365583491E-11
3,-3,8.035503275964719E-7,2.4093614364870074E-7,1.358068136310714,1.9634742934599183E-6,-4.029036695879542E-11,-1.318991724054942E-11,4.462324125034261E-9,-2.0445578997058806E-11,-8.839337141620908E-12,4.436263697832509E-9,-1.9844787961736752E-11,-4.350580098928514E-12,2.6060427201747884E-11
3,-2,6.827484959245698E-7,2.3193111380434564E-7,1.3073101059340972,1.668295157885271E-6,-2.8890976906698488E-11,-1.177319838179728E-11,3.784528391927985E-9,-1.679901207205134E-11,-9.00303061858344E-12,3.76976673605293E-9,-1.2091964834647089E-11,-2.770167763213822E-12,1.4761655875048247E-11
3,-1,5.731184315518761E-7,2.2268411617994983E-7,1.2551881924675017,1.4004142227483251E-6,-1.8823127560555742E-11,-1.0450570437888381E-11,3.166680148094641E-9,-1.3342844932478478E-11,-9.133907291165664E-12,3.160484512869205E-9,-5.480282628077296E-12,-1.316663146722751E-12,6.195635225434504E-12
3,0,4.753485332690664E-7,2.1304669845504426E-7,1.2008656249593497,1.1615135896956422E-6,-1.0416500664737136E-11,-9.239698750371707E-12,2.625007040289609E-9,-1.0416500664737136E-11,-9.239698750371707E-12,2.625007040289609E-9,0,0,0
3,1,3.895037879593079E-7,2.033323863788601E-7,1.1461096323670559,9.517520541008621E-7,-3.3861156115613766E-12,-8.13140517194531E-12,2.1469275195133985E-9,-7.77487867756449E-12,-9.303431865896888E-12,2.1511381528209865E-9,4.388763066003039E-12,1.1720266939515878E-12,-4.210633307597586E-12
3,2,3.1540928098517097E-7,1.9356138407843897E-7,1.091034097899431,7.707022122503068E-7,2.2389555557971595E-12,-7.130100844100187E-12,1.7352675433784227E-9,-5.524084466704759E-12,-9.326246909341906E-12,1.7420868047369275E-9,7.763040022501988E-12,2.1961460652417033E-12,-6.8192613585124815E-12
3,3,2.525036119753515E-7,1.8383233761816833E-7,1.0361950530210295,6.169922829878471E-7,6.567318890597147E-12,-6.2337342013157E-12,1.3865346696973854E-9,-3.657071612322339E-12,-9.306590229738572E-12,1.394723443166212E-9,1.0224390502919524E-11,3.072856028422842E-12,-8.188773468828964E-12
3,4,1.9994470291013588E-7,1.7424073114709774E-7,0.9821307066463926,4.885646496490286E-7,9.738561083363335E-12,-5.437985321319583E-12,1.0957776466625382E-9,-2.1527600058169617E-12,-9.244432824527033E-12,1.1044232844685136E-9,1.1891321089180367E-11,3.806447503207448E-12,-8.645637805976945E-12
3,5,1.5669627446113303E-7,1.6487306108484912E-7,0.9293286071757504,3.8288716489688295E-7,1.191137352995752E-11,-4.7367003179479965E-12,8.570343855067296E-10,-9.78668764098479E-13,-9.141204742889044E-12,8.655037915500923E-10,1.2890042294055974E-11,4.404504424941053E-12,-8.469406043361902E-12
3,6,1.2161808088323722E-7,1.558044886421946E-7,0.8782124106197384,2.971736395757944E-7,1.325145257942464E-11,-4.122443875954732E-12,6.638135555345995E-10,-9.463577062830548E-14,-8.999667713758639E-12,6.717016265422837E-10,1.3346088350052969E-11,4.877223837803915E-12,-7.888071007684368E-12
3,7,9.354645988620721E-8,1.470941358493717E-7,0.8291153660467764,2.2858066622926713E-7,1.3921055469181676E-11,-3.587179150862691E-12,5.095349143326418E-10,5.434727692299034E-13,-8.823760841310477E-12,5.166134585279487E-10,1.3377582699951759E-11,5.2365816904477704E-12,-7.07854419530704E-12
