% Model,main.mph
% Version,COMSOL 5.3.1.275
% Date,"Aug 24 2019, 07:38"
% Table,no_soil_adsorption {tbl10} - 
% Time (h),p_in (Pa),alpha (1),c_in (ug/m^3),j_ck (ug/(m^2*s)),m_ads (g),c_ads (mol/kg),c_ads/c (1),alpha_ck (1),n_ck (ug/s),c_soil (ug/m^3),u_ck (cm/h),Pe (1)
0,-5,2.9931519896867615E-4,7.8654047984988695,0.010907762417648952,0,0,0,0.025531874691311948,0.004358741862092422,670.9266031382956,1.456781186145071,0.007536839393213927
0.072,-5,2.993443782912118E-4,7.866171572736461,0.01090858975786991,0,0,0,0.025531816221134564,0.004359072467244717,670.925066658975,1.456781186145071,0.007537095427974983
0.144,-5,2.993295186617725E-4,7.865781091394056,0.01090825101495672,0,0,0,0.025531789030668297,0.004358937105576607,670.9243521479015,1.4567811861450712,0.00753695306766962
0.288,-5,2.9930498219558823E-4,7.865136322135667,0.010907093808697503,0,0,0,0.025531837099224696,0.004358474685955424,670.925615293427,1.4567811861450704,0.007536866613127846
0.576,-5,2.993111008087057E-4,7.865297107051167,0.010907651674138596,0,0,0,0.025531878140933426,0.004358697608985685,670.926693787449,1.4567811861450712,0.007536806071078315
0.884419496515949,-5.000469195581301,2.9933278195755353E-4,7.865866844280591,0.010908414114348557,0,0,0,0.025531924275485104,0.0043590022800935845,670.927906111197,1.4569247257095101,0.007537668991983602
1.0386292447739236,-5.010107417318963,2.995791144556107E-4,7.872339969664537,0.010917457308554883,0,0,0,0.025532937913975914,0.004362615940498433,670.9545425034594,1.459958603936373,0.007554763476036486
1.192838993031898,-5.0429630341602225,3.0045287759227174E-4,7.8953007173697145,0.010949424764091945,0,0,0,0.025537052977565308,0.0043753901357310426,671.06267814446,1.4701645185814065,0.007612376336437048
1.318191855629739,-5.094729371661936,3.0185241410348606E-4,7.932077737811405,0.011000934502032295,0,0,0,0.025544170444686005,0.0043959734270120066,671.2497109454584,1.486040509239456,0.007701860390570684
1.42193531462748,-5.158331948793008,3.036083180225267E-4,7.978219380995954,0.011065439435427692,0,0,0,0.02555366104985499,0.004421749598396805,671.4991050680894,1.505339649928911,0.007810913723206107
1.5153044277254468,-5.233558711094451,3.057376933964402E-4,8.034175107071654,0.011143657320700252,0,0,0,0.025565833487787328,0.00445300546535172,671.8189723920752,1.5281281559520434,0.0079399649179507
1.5993366295136169,-5.316868976576224,3.081772039426627E-4,8.098280565205288,0.011233198532618793,0,0,0,0.025580379742191232,0.004488786133634368,672.2012188653014,1.553801970580069,0.00808578824616087
