% Model,main.mph
% Version,COMSOL 5.3.1.275
% Date,"Aug 12 2019, 09:29"
% Table,sandy_loam {tbl2} -
% Time (h),p_in (Pa),alpha (1),c_in (ug/m^3),j_ck (ug/(m^2*s)),m_ads (g),c_ads (mol/kg)
0,-5,7.872743244308529E-4,6.560347728537468,0.00910499188576234,0.2519199296061244,1.5008569644612802E-9
0.072,-5,7.872311679343207E-4,6.559988105957117,0.009104495899228337,0.25191992956731357,1.5008569642300598E-9
0.144,-5,7.87191501710388E-4,6.5596575677774736,0.009104040553392093,0.2519199295405055,1.500856964070346E-9
0.288,-5,7.871188970136331E-4,6.559052553689429,0.009103251867024287,0.2519199295135403,1.5008569639096946E-9
0.576,-5,7.870033984405558E-4,6.558090105432164,0.009101901846283109,0.2519199295638812,1.5008569642096084E-9
1.152,-5.031310594424858,7.869309616784131E-4,6.557486490741276,0.009101279162365888,0.2519199340324133,1.5008569908316672E-9
1.5224515188071108,-5.240057424615495,7.873051243436641E-4,6.560604383850337,0.009107441186360416,0.251919955244384,1.5008571172056897E-9
1.892903037614222,-5.731857013063292,7.886066892710401E-4,6.571450309152204,0.009127658266126926,0.2519200224668167,1.5008575176950712E-9
2.2633545564213327,-6.535199849378994,7.915828682736049E-4,6.596250773937222,0.009152641147735847,0.2519201787303491,1.5008584486623444E-9
2.6338060752284442,-7.617519907180641,7.963159229951881E-4,6.635691263520354,0.009224914114171714,0.2519204475293225,1.5008600500791599E-9
3.0042575940355554,-8.901269214423252,8.029025452677043E-4,6.690577509804932,0.009317432729200716,0.2519208490425732,1.500862442164452E-9
3.3376639609619554,-10.141218483416932,8.103972601383663E-4,6.753030881078442,0.009411934711857287,0.2519213386719029,1.5008653592166724E-9
3.671070327888355,-11.37121126427741,8.191325809807926E-4,6.825822207390383,0.009522348305846065,0.25192195239368936,1.5008690155713676E-9
3.859895506958171,-12.030457485424737,8.246167300724227E-4,6.8715215575657425,0.009593643059348234,0.25192237225252784,1.500871516953703E-9
4.048720686027987,-12.644332160574109,8.303784208230972E-4,6.9195336591366265,0.00965543348091881,0.25192282608133826,1.5008742207180724E-9
4.218663347190821,-13.147430697377978,8.354850227723678E-4,6.962086913394806,0.009727727147788672,0.2519232591441743,1.5008768007655324E-9
4.371611742237372,-13.553441576849043,8.400668010988135E-4,7.000266818548311,0.009784778313122435,0.25192366632434826,1.5008792266125113E-9
4.509265297779268,-13.877059344462829,8.441486780350792E-4,7.03428105127,0.009834886355054341,0.2519240449333493,1.5008814822417387E-9
4.6331534977669735,-14.132415159192288,8.477659928995399E-4,7.064424093686155,0.009878869843858206,0.25192439404031575,1.50088356210744E-9
4.75704169775468,-14.352688079590129,8.513070952489955E-4,7.093932058107025,0.009920841841773904,0.251924752196832,1.500885695887418E-9
4.880929897742385,-14.53758633398433,8.547342138125106E-4,7.122490196974106,0.009964672945172351,0.25192511528174344,1.5008878590291695E-9
5.004818097730092,-14.687608964481054,8.580823340913836E-4,7.150390044060132,0.010002727924672569,0.2519254805224703,1.5008900350145702E-9
5.128706297717797,-14.804113067658944,8.61295701529557E-4,7.177166997302215,0.0100434611243177,0.251925848415001,1.5008922267985509E-9
5.252594497705503,-14.88938103526363,8.643808402667109E-4,7.202875422279928,0.01007765244922649,0.25192621831445483,1.500894430539134E-9
5.376482697693209,-14.946687794902015,8.673100713725634E-4,7.227284670791281,0.01011355319515497,0.2519265893067695,1.500896640790619E-9
5.624259097668622,-14.995883524180288,8.726276132754561E-4,7.271595685213433,0.010174911019049606,0.25192733021681374,1.500901054891567E-9
5.872035497644035,-15,8.772394264577417E-4,7.310025870469022,0.010230407066105777,0.2519280679336821,1.5009054499686126E-9
6.095034257621906,-15,8.808979534128832E-4,7.340512332754335,0.01027198624256908,0.2519287285814144,1.5009093858928221E-9
6.541031777577649,-15,8.864911201439152E-4,7.387120125642516,0.010336890711536354,0.25193003628841576,1.500917176785601E-9
7.433026817489133,-15,8.944356188209839E-4,7.453321540109012,0.010429825376756952,0.2519326219152072,1.5009325811086503E-9
9.217016897312103,-15,9.041646866813324E-4,7.534393748687091,0.010548747447868776,0.25193772033598144,1.500962955840567E-9
12.78499705695804,-15,9.164123107804602E-4,7.636453056917142,0.010690204601930436,0.2519477342714385,1.5010226156094284E-9
19.92095737624992,-15,9.322635508515136E-4,7.768541254852233,0.010874462766723046,0.2519672896379327,1.5011391201195781E-9
20.37095737624992,-14.998350708914536,9.334200585418848E-4,7.778178419896382,0.010883658378466332,0.2519685204074462,1.5011464526438422E-9
20.59595737624992,-14.980230807451603,9.339722190917582E-4,7.782779567294109,0.01088994103509978,0.2519691338400898,1.5011501072759189E-9
20.82095737624992,-14.926485239585425,9.344212035551954E-4,7.786520949571484,0.010894284080405419,0.2519697426265795,1.5011537342277216E-9
21.02345737624992,-14.83418998162471,9.346557016187302E-4,7.788475019189553,0.0108964672654999,0.2519702838638963,1.501156958743533E-9
21.19800840839262,-14.713313126738559,9.346838445010377E-4,7.788709533498342,0.010895414881050482,0.25197074318083607,1.5011596952043961E-9
21.35460477064504,-14.56770457277241,9.345285921766042E-4,7.7874158176964405,0.010891942936642833,0.2519711476425169,1.5011621048554756E-9
21.495541496672214,-14.40387000247674,9.342135967883482E-4,7.784790964813883,0.010886361163580646,0.25197150410161745,1.5011642285228042E-9
21.622384550096672,-14.228220092202031,9.337512540389517E-4,7.7809382680959995,0.01088065421165213,0.25197181719678635,1.5011660938419386E-9
21.74922760352113,-14.02468116798653,9.330914074678038E-4,7.77543977434372,0.01087263844747359,0.25197212183566403,1.501167908781241E-9
21.87607065694559,-13.792359058984463,9.322317838975741E-4,7.768276541196963,0.010860566528618866,0.2519724168942501,1.5011696666442812E-9
22.129756763794507,-13.238894509796285,9.29976486899619E-4,7.749483177716694,0.010828111139118161,0.25197297985020917,1.5011730205526978E-9
22.637128977492342,-11.770898020507163,9.223674183676793E-4,7.686076898722542,0.010726510089217735,0.2519739357581344,1.5011787155410571E-9
23.144501191190173,-9.837539079233018,9.103054929904521E-4,7.585565015768035,0.010571799298542297,0.2519746189965711,1.5011827860533319E-9
23.651873404888008,-7.49360667305477,8.93713640235314E-4,7.447305301007125,0.010359214642474333,0.251974967567038,1.5011848627227476E-9
23.946939018828548,-5.975150327274086,8.821197622141438E-4,7.350693651191021,0.010210093602968222,0.25197500086354957,1.5011850610925288E-9
24.242004632769092,-4.368093959957987,8.692541561330923E-4,7.243484706340569,0.010048505451116267,0.25197489555378544,1.501184433691223E-9
24.507563685315578,-2.865187489773181,8.567595621418782E-4,7.13936740089114,0.009891170515889074,0.2519746769798287,1.5011831314987134E-9
24.746566832607414,-1.4822025347944727,8.449173168151762E-4,7.040686109225777,0.00974326445502698,0.2519743771535775,1.501181345231473E-9
24.897224090014298,-0.602018566220675,8.372175052478716E-4,6.976523669580293,0.009647411634254649,0.25197413734983454,1.5011799165588094E-9
25.047881347421182,0.2805361593041269,8.293912772066397E-4,6.911307802937583,0.009550108049691638,0.2519738579487525,1.5011782519780796E-9
25.157017815270297,0.9193701388812894,8.236363151615794E-4,6.863351771591807,0.009478933801204325,0.2519736205098664,1.5011768373944567E-9
25.266154283119413,1.5563041772628914,8.178512551294352E-4,6.8151449340720305,0.009407221560246625,0.25197336320000097,1.501175304426011E-9
25.36437710418361,2.1268340662692395,8.12644092336592E-4,6.771753707481668,0.009342944040181255,0.25197311419142454,1.5011738209139417E-9
