% Model,main.mph
% Version,COMSOL 5.3.1.275
% Date,"Aug 25 2019, 07:16"
% Table,soil_adsorption {tbl11} - 
% Time (h),p_in (Pa),alpha (1),c_in (ug/m^3),j_ck (ug/(m^2*s)),m_ads (g),c_ads (mol/kg),c_ads/c (1),alpha_ck (1),n_ck (ug/s),c_soil (ug/m^3),u_ck (cm/h),Pe (1)
0,-5,2.9931570158495753E-4,7.865418006249513,0.010907994345079738,0.40195979218597916,2.6961673101322636E-5,7708.799999999987,0.025531887406555487,0.004358834540293764,670.9269372694654,1.456781186145071,0.007536854603582558
0.072,-5,2.993857302363047E-4,7.8672582191496145,0.010910303354315193,0.4019597921256634,2.696167309727692E-5,7708.799999999987,0.02553188740272434,0.004359757220384252,670.9269371687905,1.456781186145071,0.0075387854567911
0.144,-5,2.9945360683492875E-4,7.869041880408258,0.010912810863551689,0.40195979200070325,2.6961673088895128E-5,7708.799999999987,0.025531887394787088,0.004360759221075157,670.9269369602148,1.456781186145071,0.007540655071412619
0.288,-5,2.9958428277304894E-4,7.872475782710178,0.010917867753704756,0.40195979159948025,2.6961673061982895E-5,7708.799999999987,0.025531887369301967,0.004362779954380322,670.926936290517,1.456781186145071,0.0075442498488937654
0.576,-5,2.99823667683286E-4,7.878766339381388,0.010926337314213545,0.4019597901259587,2.696167296314562E-5,7708.799999999989,0.025531887275706072,0.004366164390759634,670.9269338310039,1.456781186145071,0.007550814776428676
0.9284306522313027,-5.001630087539822,3.000806165556604E-4,7.885518441849643,0.010935824188657066,0.40195978743271576,2.6961672782494884E-5,7708.799999999987,0.0255318871046353,0.004369955345787264,670.9269293356067,1.4572532851661966,0.007560269257502833
1.1279259704239124,-5.025508410445516,3.002180141296203E-4,7.889128975298162,0.010941039786839375,0.4019597874876641,2.696167278618054E-5,7708.799999999987,0.025531887108125498,0.004372039498820914,670.9269294273219,1.4648446283713425,0.00760329238287051
1.3274212886165222,-5.099583890719329,3.0037224433059805E-4,7.893181836519455,0.010947988830814404,0.4019597940477821,2.6961673226204058E-5,7708.799999999987,0.025531887524814466,0.004374816336793336,670.9269403770743,1.4878440457976942,0.007726655103511067
1.506967074989871,-5.226113262889454,3.005501935009375E-4,7.897857984817636,0.010954478899369496,0.4019598111100609,2.696167437066576E-5,7708.799999999987,0.025531888608585015,0.004377409768187951,670.9269688563973,1.5265631207412158,0.007932384156930147
1.6865128613632199,-5.419649723769091,3.0079144532521124E-4,7.904197600255899,0.0109654181270892,0.40195984599635903,2.6961676710683334E-5,7708.799999999989,0.025531890824510736,0.004381781083584745,670.9270270864927,1.5849932624788297,0.008242614806257126
1.8660586477365688,-5.685699623578968,3.011237375157297E-4,7.912929574438343,0.010979501946651607,0.40195990567131773,2.696168071341383E-5,7708.799999999987,0.02553189461497521,0.004387408977881883,670.9271266923186,1.6649773291386,0.008668270294255659
2.0456044341099178,-6.025906097772883,3.015740156904501E-4,7.924761984313648,0.010998564392171447,0.401959997549043,2.6961686876162524E-5,7708.799999999987,0.025531900450911464,0.00439502633111161,670.9272800490513,1.7666676984279215,0.009211832948369799
2.404696006856615,-6.918624584534418,3.029566797301032E-4,7.961095629947652,0.011054247420530796,0.4019603152703869,2.6961708187495627E-5,7708.799999999987,0.025531920632098134,0.004417277269244006,670.9278103702753,2.0315028542015456,0.010643320610915904
2.763787579603313,-8.050021838205526,3.050519674058679E-4,8.016155599491395,0.011144120371644677,0.40196084330066195,2.6961743605415373E-5,7708.799999999987,0.025531954171794862,0.0044531905005091126,670.9286917264255,2.3650107182162783,0.012480434728621717
3.06031566827544,-9.106676377766995,3.073810128770848E-4,8.077358256384032,0.011230504901005368,0.4019614598685246,2.696178496204223E-5,7708.799999999987,0.02553199333526728,0.004487709758441644,670.9297208641538,2.6750585208759112,0.01422979787033424
3.327190948080354,-10.101958014161198,3.0994097563890954E-4,8.144628957839265,0.011331042158947008,0.4019621653522688,2.696183228275059E-5,7708.799999999987,0.025532038146544124,0.004527884446715122,670.9308984148867,2.9660152944796048,0.015915471139587908
3.5673786999047765,-10.99505025518057,3.1259551471739364E-4,8.214384935743668,0.011434499333040951,0.4019629240658334,2.696188317387829E-5,7708.799999999987,0.025532086338899924,0.00456922593348306,670.9321648136116,3.226197483477265,0.017467023091275638
3.7377297096579616,-11.608246082442685,3.1471991329867647E-4,8.27020988166262,0.011519690924819529,0.401963560431798,2.6961925858473728E-5,7708.799999999987,0.0255321267599183,0.00460326849355778,670.933226997133,3.4037635432575972,0.018559282987556217
3.908080719411146,-12.19196087520145,3.16938328255179E-4,8.328505389889594,0.011616106594550164,0.4019642500469877,2.696197211479008E-5,7708.799999999987,0.025532170563248177,0.004641796195182141,670.9343780610357,3.5730036001378602,0.019625219085676448
4.078431729164331,-12.735928717795066,3.192427145105717E-4,8.389060051908801,0.011704096891957748,0.40196498860728597,2.6962021654126406E-5,7708.799999999987,0.02553221747549847,0.00467695711802621,670.9356108211492,3.730325271452865,0.020644266248554973
4.248782738917516,-13.231063533042812,3.2160055280965885E-4,8.451019326732212,0.011781667721923043,0.40196575705619114,2.696207319825736E-5,7708.799999999987,0.025532266286228556,0.004707954421680341,670.9368934695136,3.8728069888362198,0.02159729735665559
4.419133748670701,-13.669789608555481,3.2399333780909115E-4,8.513896930947295,0.011874540654459092,0.4019665608736834,2.696212711475572E-5,7708.799999999987,0.025532317343518664,0.004745066445521745,670.9382351529833,3.9989675917623724,0.02247285506290386
