% Model,cpm.mph
% Version,COMSOL 5.3.1.275
% Date,"Jul 24 2019, 13:12"
% Table,Probe Table 1 {tbl1} - 
% Time (h),c_in (mol/m^3),c_ads (mol/kg),m_ads (g),"alpha (1), Attenuation from source {avh1}",j_sides (mol/(m^2*s)),j_bottom (mol/(m^2*s)),j_ck (mol/(m^2*s)),j_d_sides (mol/(m^2*s)),j_d_bottom (mol/(m^2*s)),j_d_ck (mol/(m^2*s)),j_c_sides (mol/(m^2*s)),j_c_bottom (mol/(m^2*s)),j_c_ck (mol/(m^2*s))
0.66,7.000419489897152E-7,2.2125616498023133E-6,12.82024375488784,1.7105516903916217E-6,-5.824559260315245E-11,-8.765581221786576E-12,3.870657394208191E-9,-1.6347289409501707E-11,-1.5536323872337422E-12,3.866641864229682E-9,-4.189830319365064E-11,-7.211948834552811E-12,4.0155299785169134E-12
0.76,7.000153805328447E-7,2.2125616422567448E-6,12.820243711166562,1.7104867703980708E-6,-5.824476432233341E-11,-8.767249342173654E-12,3.870577454903686E-9,-1.6347064587309384E-11,-1.5536373591913463E-12,3.866561895205825E-9,-4.18976997350239E-11,-7.2136119829823256E-12,4.015559697858214E-12
0.86,7.000164208642898E-7,2.212561635015849E-6,12.820243669210646,1.710489312446756E-6,-5.824390684266513E-11,-8.769170573621314E-12,3.870506862931245E-9,-1.6345702748427914E-11,-1.5536436102847676E-12,3.866490909064942E-9,-4.189820409423725E-11,-7.215526963336538E-12,4.015953866311536E-12
0.96,7.001131494602815E-7,2.2125616292469493E-6,12.820243635783918,1.7107256686588664E-6,-5.827829188669363E-11,-8.776039907496361E-12,3.871123344982547E-9,-1.6355579369460915E-11,-1.5536532505607188E-12,3.867103646812283E-9,-4.1922712517232655E-11,-7.222386656935608E-12,4.0196981702739E-12
1.06,7.004970534968639E-7,2.212561627775603E-6,12.820243627258499,1.7116637377269763E-6,-5.838812391137732E-11,-8.794319365738051E-12,3.873191504202938E-9,-1.638477844530612E-11,-1.5536686391791655E-12,3.869160166281014E-9,-4.200334546607111E-11,-7.240650726558858E-12,4.031337921935469E-12
1.16,7.013059045724776E-7,2.2125616347766756E-6,12.820243667824805,1.7136401643920657E-6,-5.861907425045679E-11,-8.829392720858185E-12,3.877790701580543E-9,-1.6450031621536004E-11,-1.5536915533182531E-12,3.873736120942447E-9,-4.2169042628920875E-11,-7.275701167539915E-12,4.054580638106711E-12
1.26,7.026604741278208E-7,2.2125616523553214E-6,12.820243769680737,1.7169500535294098E-6,-5.898599103647185E-11,-8.883747488172666E-12,3.885242556954667E-9,-1.6552569616003205E-11,-1.553717203106587E-12,3.881150946645268E-9,-4.2433421420468494E-11,-7.330030285066036E-12,4.0916103093891255E-12
1.36,7.0479539357398E-7,2.212561687747658E-6,12.820243974754517,1.7221667267198505E-6,-5.955550118074011E-11,-8.965162210754983E-12,3.897170083344741E-9,-1.671670963392087E-11,-1.5537558219787368E-12,3.893021961978008E-9,-4.283879154681922E-11,-7.41140638877624E-12,4.148121366736648E-12
1.46,7.078834152129936E-7,2.212561747358381E-6,12.820244320156867,1.7297123040130408E-6,-6.035192761057716E-11,-9.076239351199922E-12,3.914324997412364E-9,-1.694887157769511E-11,-1.553808507290951E-12,3.91009816335562E-9,-4.34030560328818E-11,-7.522430843908978E-12,4.2268340567477985E-12
1.56,7.120415876399397E-7,2.2125618380290876E-6,12.820244845530052,1.7398727935153028E-6,-6.139596105716089E-11,-9.217686085366398E-12,3.9375045800380774E-9,-1.7260192932401135E-11,-1.5538719552445687E-12,3.9331751931758815E-9,-4.413576812475974E-11,-7.663814130121842E-12,4.329386862198538E-12
